index_date;pig_iron_(tonne)
2012-11-01;2255.37956329431
2012-12-01;2172.970793903
2013-01-01;2218.90310045121
2013-02-01;2185.82545332898
2013-03-01;2108.61544612973
2013-04-01;2256.61124313601
2013-05-01;2244.95308418172
2013-06-01;2180.39796616725
2013-07-01;2154.55624196712
2013-08-01;2211.59555962994
2013-09-01;2224.37138234428
2013-10-01;2107.74091863659
2013-11-01;2119.66341930571
2013-12-01;2166.42972768875
2014-01-01;2142.67244587327
2014-02-01;2151.30625523876
2014-03-01;2207.2445319672
2014-04-01;2094.02237657045
2014-05-01;2177.94757229642
2014-06-01;2264.16289613335
2014-07-01;2302.20839668888
2014-08-01;2341.48460056792
2014-09-01;2399.84237496811
2014-10-01;2294.32085677294
2014-11-01;2204.99043369378
2014-12-01;2410.34700224991
2015-01-01;2537.71569981538
2015-02-01;2389.66676094006
2015-03-01;2256.6868902709
2015-04-01;2399.7684625584
2015-05-01;2458.63385734415
2015-06-01;2400.99964296726
2015-07-01;2324.09651351922
2015-08-01;2274.36463950136
2015-09-01;2187.12460213393
2015-10-01;2303.09908309631
2015-11-01;2194.40473167087
2015-12-01;2244.05715947385
2016-01-01;2148.76673285032
2016-02-01;2160.92446610211
2016-03-01;2082.20346382763
2016-04-01;1881.15133695605
2016-05-01;2131.01526845962
2016-06-01;2209.68243025041
2016-07-01;2318.89249762017
2016-08-01;2316.05325829926
2016-09-01;2278.51253006189
2016-10-01;2337.7766942009
2016-11-01;2322.12772815531
2016-12-01;2152.78445720248
2017-01-01;2300.7599462474
2017-02-01;2289.35800278921
2017-03-01;2356.03082137498
2017-04-01;2436.32318039301
2017-05-01;2539.48016921827
2017-06-01;2360.76197957433
2017-07-01;2300.496165154
2017-08-01;2401.72846994481
2017-09-01;2435.96406458113
2017-10-01;2350.28415790336
2017-11-01;2444.21586737788
2017-12-01;2364.14805587331
2018-01-01;2347.20831411969
2018-02-01;2370.05093677641
2018-03-01;2421.36253183327
2018-04-01;2383.64034851616
2018-05-01;2295.74059562915
2018-06-01;2471.39540729458
2018-07-01;2463.03971894025
2018-08-01;2300.19747522572
2018-09-01;2535.83998677029
2018-10-01;2426.01614347634
2018-11-01;2293.91722087642
2018-12-01;2357.99730408595
2019-01-01;2403.95199763048
2019-02-01;2376.1477671384
2019-03-01;2326.60965481366
2019-04-01;2425.51986706257
2019-05-01;2367.8731333132
2019-06-01;2392.68537653994
2019-07-01;1871.88870365638
2019-08-01;1880.11179995937
2019-09-01;1909.83877042137
2019-10-01;2081.32099027509
2019-11-01;2118.73668396407
2019-12-01;2142.41674691433
2020-01-01;2098.525766049
2020-02-01;2332.04727668035
2020-03-01;2065.74057504473
2020-04-01;1808.37614361079
2020-05-01;1792.33095617752
2020-06-01;1806.34464478223
2020-07-01;2020.35090218212
2020-08-01;2094.74714455908
2020-09-01;2023.12414312032
2020-10-01;2072.43265559575
2020-11-01;2279.93746826365
2020-12-01;2243.75224470975
2021-01-01;2344.83409289689
2021-02-01;2389.30947056489
2021-03-01;2138.72622547197
2021-04-01;2395.22611605142
2021-05-01;2495.03733954658
2021-06-01;2525.86545019084
2021-07-01;2477.62158991228
2021-08-01;2488.77294140596
2021-09-01;2501.22578656646
2021-10-01;2159.3833676437
2021-11-01;2312.88526379768
